,paths
103,"[('Bodø', 'Skien', 'Sea', 1)]"
104,"[('Skien', 'Bodø', 'Sea', 1)]"
105,"[('Kristiansand', 'Sør-Sverige', 'Sea', 1)]"
106,"[('Sør-Sverige', 'Kristiansand', 'Sea', 1)]"
107,"[('Trondheim', 'Kontinentalsokkelen', 'Sea', 1)]"
108,"[('Kontinentalsokkelen', 'Trondheim', 'Sea', 1)]"
109,"[('Bodø', 'Kontinentalsokkelen', 'Sea', 1)]"
110,"[('Ålesund', 'Stavanger', 'Sea', 1)]"
111,"[('Stavanger', 'Ålesund', 'Sea', 1)]"
112,"[('Stavanger', 'Sør-Sverige', 'Sea', 1)]"
113,"[('Sør-Sverige', 'Stavanger', 'Sea', 1)]"
114,"[('Skien', 'Kontinentalsokkelen', 'Sea', 1)]"
115,"[('Kontinentalsokkelen', 'Skien', 'Sea', 1)]"
116,"[('Oslo', 'Sør-Sverige', 'Rail', 1)]"
117,"[('Sør-Sverige', 'Oslo', 'Rail', 1)]"
118,"[('Ålesund', 'Sør-Sverige', 'Sea', 1)]"
119,"[('Sør-Sverige', 'Ålesund', 'Sea', 1)]"
120,"[('Bodø', 'Europa', 'Sea', 1)]"
121,"[('Europa', 'Bodø', 'Sea', 1)]"
122,"[('Bodø', 'Kristiansand', 'Sea', 1)]"
123,"[('Kristiansand', 'Bodø', 'Sea', 1)]"
124,"[('Trondheim', 'Bodø', 'Sea', 1)]"
125,"[('Bodø', 'Trondheim', 'Sea', 1)]"
126,"[('Oslo', 'Hamar', 'Road', 1)]"
127,"[('Hamar', 'Oslo', 'Road', 1)]"
128,"[('Ålesund', 'Verden', 'Sea', 1)]"
129,"[('Verden', 'Ålesund', 'Sea', 1)]"
130,"[('Kristiansand', 'Skien', 'Rail', 1)]"
131,"[('Skien', 'Kristiansand', 'Rail', 1)]"
132,"[('Oslo', 'Skien', 'Rail', 1)]"
133,"[('Skien', 'Oslo', 'Rail', 1)]"
134,"[('Kontinentalsokkelen', 'Europa', 'Sea', 1)]"
135,"[('Bodø', 'Stavanger', 'Sea', 1)]"
136,"[('Stavanger', 'Bodø', 'Sea', 1)]"
137,"[('Oslo', 'Bodø', 'Sea', 1)]"
138,"[('Bodø', 'Oslo', 'Sea', 1)]"
139,"[('Bodø', 'Sør-Sverige', 'Sea', 1)]"
140,"[('Sør-Sverige', 'Bodø', 'Sea', 1)]"
141,"[('Oslo', 'Hamar', 'Rail', 1)]"
